,S.No,actual,pred,alive,plod,Name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
259,781,1,1,0.7290000000000001,0.271,mollander,,1,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.036789298,1,None,,,,0.0,1,0,0,0,0,1,0
260,784,1,1,0.574,0.426,moreo tumitis,,1,,268.0,,,,,,,1,0,0,0,0,,,,,0,0,37.0,0,0,0,0.010033445,1,None,,,,18.0,1,0,1,0,0,0,0
261,785,1,1,0.996,0.004,morgarth,Ser,1,,,,,,,House Baelish,,0,0,0,1,1,,,,,0,1,,0,0,0,0.016722408,1,None,,,,41.0,1,0,0,0,0,1,0
262,786,1,1,0.963,0.037000000000000005,moro,Khal,1,Dothraki,,,,,,,,1,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1,None,,,,3.0,1,1,1,0,0,0,0
263,787,1,1,0.993,0.006999999999999999,morra,,0,,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,House Martell,,,,40.0,0,0,0,0,0,1,0
264,788,0,0,0.106,0.894,morrec,,1,,,298.0,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.026755853,0,House Lannister,298.0,1.0,31.0,13.0,1,0,1,0,0,0,0
265,789,1,1,0.767,0.233,mors manwoody,,1,,,,,,,House Manwoody,,0,0,1,1,0,,,,,0,0,,0,0,0,0.023411371,1,Martell,,,,38.0,1,1,0,0,1,0,0
266,794,1,1,0.759,0.24100000000000002,mudge (miller),,1,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
267,796,1,1,0.7240000000000001,0.276,munciter,Wisdom,1,,,,,,,Alchemists' Guild,,0,1,0,0,0,,,,,0,1,,0,0,0,0.006688963000000001,1,Lannister,,,,20.0,1,0,0,1,0,0,0
268,797,1,1,0.813,0.187,mully,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.050167224,1,Night's Watch,,,,55.0,1,0,0,0,1,1,1
269,798,1,1,0.795,0.205,murch,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,1,Night's Watch,,,,9.0,1,0,0,1,0,0,0
270,799,1,1,0.903,0.09699999999999999,murch (winterfell),,1,Northmen,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,House Stark,,,,50.0,1,0,0,1,0,0,0
271,801,0,0,0.213,0.787,myrtle,,0,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.046822742,0,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
272,802,1,1,0.987,0.013000000000000001,nage,,1,,,,,,,House Bolton,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,44.0,1,0,0,0,1,0,0
273,804,1,1,0.757,0.243,narbert,BrotherProctor,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.026755853,1,None,,,,31.0,1,0,0,0,0,1,0
274,806,1,1,0.795,0.205,nan,,0,,,,,,,House Stark,,1,1,1,1,1,,,,,0,0,,0,0,0,0.096989967,1,House Stark,,,,1.0,0,0,1,1,0,0,0
275,812,1,1,0.78,0.22,nolla,Goodwife,0,,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0,1,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
276,813,1,1,0.9990000000000001,0.001,norjen,,0,Ironmen,,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963000000001,1,Greyjoy,,,,1.0,1,0,0,0,0,1,0
277,818,0,0,0.237,0.763,ogo,Khal,1,Dothraki,,298.0,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.036789298,0,None,298.0,1.0,61.0,46.0,1,1,1,0,0,0,0
278,822,0,1,0.7190000000000001,0.281,old henly,,1,,220.0,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,79.0,0,0,0,0.013377926000000002,0,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
279,827,0,1,0.774,0.226,orell,,1,Free Folk,,299.0,,,,,,0,1,1,1,1,,,,,0,0,,0,0,0,0.080267559,0,Wildling,299.0,2.0,51.0,51.0,1,0,0,1,0,0,0
280,834,1,1,0.988,0.012,ossy,,0,,,,,,,House Royce of the Gates of the Moon,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,Arryn,,,,41.0,1,0,0,0,0,1,0
281,840,1,0,0.315,0.685,owen,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.036789298,1,Night's Watch,,,,55.0,1,0,0,0,1,0,1
282,842,1,1,0.8290000000000001,0.171,palla,,0,Northmen,,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,1,1,0,0.02006689,1,House Stark,,,,46.0,0,0,0,1,0,0,0
283,843,1,1,0.813,0.187,pate (old),,1,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,None,,,34.0,13.0,1,0,0,0,1,0,0
284,845,1,1,0.7929999999999999,0.207,pate (lancewood),,1,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
285,847,0,0,0.047,0.953,pate (night's watch),,0,,,,,,,Night's Watch,,0,0,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,Night's Watch,,,,60.0,1,0,1,0,0,0,0
286,851,1,0,0.198,0.802,penny,,0,,281.0,,,,,Second Sons,,0,0,1,0,1,,,,,0,0,24.0,0,0,0,0.18729097,1,None,,,,60.0,0,0,0,0,1,0,1
287,852,1,1,0.988,0.012,perros blackmont,,1,Dornish,,,,,,House Blackmont,,0,0,1,1,0,,,,,0,0,,0,0,0,0.02006689,1,Martell,,,,38.0,1,1,0,0,1,0,0
288,858,1,1,0.917,0.083,porridge,,1,,,,,,,House Baratheon of Dragonstone,,0,0,1,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,Baratheon,,,,25.0,1,0,0,0,1,0,0
289,859,1,0,0.205,0.795,porther,,1,northmen,,,,,,House Stark,,1,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,1,House Stark,299.0,2.0,21.0,22.0,1,0,1,1,0,0,0
290,861,0,1,0.532,0.46799999999999997,poul pemford,,1,,,299.0,,,,House Pemford,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,0,House Tully,299.0,2.0,39.0,39.0,1,0,0,1,0,0,0
291,862,0,0,0.358,0.642,poxy tym,,1,northmen,,299.0,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,0,House Stark,299.0,2.0,69.0,16.0,1,0,0,1,0,0,0
292,863,0,1,0.759,0.24100000000000002,praed,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,0,None,299.0,2.0,9.0,5.0,1,0,0,1,0,0,0
293,871,1,1,0.955,0.045,qarl shepherd,,0,Ironborn,,,,,,House Shepherd,,0,0,0,0,1,,,,,0,0,,0,0,0,0.006688963000000001,1,Greyjoy,,,,26.0,1,0,0,0,0,0,1
294,874,1,1,0.99,0.01,quellon humble,,1,Ironborn,,,,,,House Humble,,0,0,0,1,1,,,,,0,0,,0,0,0,0.02006689,1,Greyjoy,,,,18.0,1,1,0,0,0,1,0
295,875,0,0,0.16,0.84,quaro,,0,Dothraki,,298.0,,,,,,1,0,0,0,1,,,,,0,0,,0,0,0,0.030100334,0,Targaryen,298.0,1.0,64.0,50.0,1,0,1,0,0,0,0
296,877,1,1,0.7,0.3,aemon estermont,Ser,1,Stormlands,,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.030100334,1,Baratheon,,,,,1,1,0,1,1,0,0
297,881,1,1,0.693,0.307,albett,,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,1,Night's Watch,,,,26.0,1,0,1,0,0,0,0
298,882,1,1,0.826,0.174,albar royce,Ser,1,,,,,,,House Royce of the Gates of the Moon,,1,1,1,1,1,,,,,0,1,,0,0,0,0.033444816,1,Arryn,,,,38.0,1,1,1,0,0,1,0
299,883,1,1,0.9790000000000001,0.021,alesander staedmon,Broad Arch,0,,,,,,,House Staedmon,,0,1,1,1,0,,,,,0,1,,0,0,0,0.013377926000000002,1,Baratheon,,,,65.0,1,1,0,1,0,0,0
300,887,0,1,0.7709999999999999,0.22899999999999998,allard seaworth,Lady Marya,1,,,299.0,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.063545151,0,Baratheon,299.0,2.0,10.0,10.0,1,1,0,1,0,0,0
301,889,1,1,0.9690000000000001,0.031,alla tyrell,,0,,286.0,,,,,House Tyrell,,0,0,1,1,1,,,,,0,0,19.0,0,0,0,0.150501672,1,House Tyrell,,,,6.0,0,1,0,0,1,1,0
302,893,1,1,0.733,0.267,alyn ambrose,,1,,,,,,,House Ambrose,,0,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,1,Tyrell,,,,59.0,1,1,0,1,0,1,0
303,894,1,1,0.691,0.309,alyn estermont,Ser,1,Stormlands,,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.026755853,1,Baratheon,,,,,1,1,0,1,1,0,0
304,895,1,1,0.523,0.47700000000000004,alyn stackspear,Ser,0,,,,,,,House Stackspear,,1,1,1,1,1,,,,,0,1,,0,0,0,0.026755853,1,Lannister,,,,16.0,1,1,0,0,0,1,0
305,902,1,1,0.797,0.203,alyx frey,,0,,282.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,23.0,0,0,0,0.143812709,1,None,,,,49.0,1,1,0,0,1,0,0
306,905,1,0,0.307,0.693,andar royce,Ser,1,Valemen,,,,,,House Royce,,1,1,1,1,1,,,,,0,1,,0,0,0,0.040133779,1,Arryn,,,,29.0,1,1,1,0,0,0,0
307,907,1,0,0.467,0.5329999999999999,antario jast,Lord,1,,,,,,,House Jast,Lanna Lannister,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.080267559,1,Lannister,,,,32.0,1,1,0,1,0,0,0
308,908,1,1,0.813,0.187,andrew estermont,Ser,1,,,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.036789298,1,Baratheon,,,,36.0,1,1,0,0,1,0,0
309,910,1,0,0.131,0.8690000000000001,ardrian celtigar,Claw Isle,1,,229.0,,,,,House Celtigar,,0,1,1,0,0,,,,,0,1,76.0,0,0,0,0.043478261,1,Baratheon,,,,10.0,1,1,0,1,1,0,0
310,911,1,1,0.76,0.24,anya waynwood,Ironoaks,0,,,,,,,House Waynwood,,1,1,1,1,1,,,,,0,1,,0,0,0,0.086956522,1,Arryn,,,,38.0,0,1,1,0,0,1,0
311,915,1,0,0.059000000000000004,0.941,arthor karstark,,1,Northmen,,,,,,House Karstark,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,1,Stark,,,,62.0,1,1,0,0,0,0,1
312,916,1,1,0.747,0.253,arwyn frey,,0,,285.0,,,,,House Frey,,0,1,1,1,1,,,,,0,0,20.0,0,0,0,0.046822742,1,None,,,,49.0,0,1,0,0,1,0,0
313,920,1,1,0.9790000000000001,0.021,azzak,Cupbearer,0,Ghiscari,,,,,,House of Ghazeen,,0,0,0,0,1,,,,,0,1,,0,0,0,0.016722408,1,None,,,,2.0,1,1,0,0,0,0,1
314,924,1,1,0.805,0.195,bayard norcross,Ser,0,,,,,,,House Norcross,,0,0,0,1,1,,,,,0,1,,0,0,0,0.02006689,1,Tyrell,,,,28.0,1,1,0,0,0,1,0
315,925,1,1,0.76,0.24,bedwyck,,1,,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.050167224,1,Night's Watch,,,,13.0,1,0,0,1,1,0,1
316,928,1,1,0.835,0.165,benedar belmore,Strongsong,1,,,,,,,House Belmore,,0,0,0,1,1,,,,,0,1,,0,0,0,0.026755853,1,Arryn,,,,23.0,1,1,0,0,0,1,0
317,931,0,1,0.7490000000000001,0.251,benfrey frey,Ser,1,,271.0,299.0,,,,House Frey,Jyanna Frey,0,1,1,1,1,,,,1.0,1,1,28.0,0,0,0,0.073578595,0,None,299.0,5.0,51.0,51.0,1,1,0,0,1,0,0
318,934,1,0,0.135,0.865,beth cassel,,0,Northmen,289.0,,,,,House Cassel,,1,1,1,1,1,,,,,0,0,16.0,0,0,0,0.070234114,1,Stark,,,,7.0,0,1,1,1,0,0,0
319,936,1,1,0.982,0.018000000000000002,bhakaz zo loraq,Cupbearer,1,Ghiscari,,,,,,House of Loraq,,0,0,0,0,1,,,,,0,1,,0,0,0,0.003344482,1,None,,,,2.0,1,1,0,0,0,0,1
320,939,1,1,0.951,0.049,black bernarr,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.02006689,1,Night's Watch,,,,18.0,1,0,0,0,1,0,1
321,941,1,1,0.9159999999999999,0.084,boremund harlaw,Harridan Hill,1,Ironborn,,,,,,House Harlaw of Harridan Hill,,0,0,0,1,1,,,,,0,1,,0,0,0,0.063545151,1,Greyjoy,,,,11.0,1,1,0,0,0,1,0
322,945,0,1,0.532,0.46799999999999997,bryan fossoway,Ser,1,,,299.0,,,,House Fossoway of Cider Hall,,0,1,0,0,0,,,,,0,1,,0,0,0,0.026755853,0,Baratheon,299.0,2.0,62.0,42.0,1,1,1,1,0,0,0
323,947,0,1,0.7290000000000001,0.271,bryen farring,,1,,,300.0,,,,House Farring,,0,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,0,Baratheon,300.0,5.0,62.0,10.0,1,1,0,1,0,0,1
324,949,0,0,0.486,0.514,burton crakehall,Ser,1,,,299.0,,,,House Crakehall,,1,1,1,1,0,,,,,0,1,,0,0,0,0.036789298,0,Lannister,299.0,2.0,7.0,55.0,1,1,1,1,0,0,0
325,953,0,0,0.198,0.802,cayn,,1,Northmen,,298.0,,,,House Stark,,1,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,0,House Stark,298.0,1.0,49.0,4.0,1,0,1,0,0,0,0
326,955,1,1,0.7609999999999999,0.239,cersei frey,,0,,292.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,13.0,0,0,0,0.133779264,1,None,,,,49.0,0,1,0,0,1,0,0
327,956,0,0,0.18,0.82,chayle,Septon,1,,,299.0,,,,,,1,1,1,0,0,,,,,0,0,,0,0,0,0.063545151,0,Stark,299.0,2.0,50.0,9.0,1,0,1,1,0,0,0
328,959,1,1,0.953,0.047,clement piper,Pinkmaiden,1,Rivermen,,,,,,House Piper,,1,0,1,1,1,,,,,0,1,,0,0,0,0.070234114,1,Tully,,,,38.0,1,1,0,0,0,1,0
329,960,0,0,0.36700000000000005,0.633,cley cerwyn,Cerwyn,1,Northmen,284.0,299.0,,,,House Cerwyn,,0,1,1,1,1,,,,,0,1,15.0,1,1,0,0.073578595,0,Stark,299.0,2.0,66.0,16.0,1,1,0,1,0,0,0
330,961,0,1,0.7959999999999999,0.204,clubfoot karl,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.026755853,0,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
331,962,1,1,0.773,0.22699999999999998,conwy,,0,,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.026755853,1,Night's Watch,,,,6.0,1,0,0,1,0,0,0
332,965,1,1,0.968,0.032,corliss penny,Ser,0,,,,,,,House Penny,,0,0,0,1,1,,,,,0,1,,0,0,0,0.023411371,1,Baratheon,,,,26.0,1,0,0,0,0,0,1
333,967,1,1,0.975,0.025,cuger,,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.006688963000000001,1,Night's Watch,,,,,1,0,1,0,0,0,0
334,975,0,0,0.315,0.685,dalbridge,,1,,254.0,299.0,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,45.0,0,0,0,0.050167224,0,Night's Watch,299.0,2.0,53.0,43.0,1,0,0,1,0,0,0
335,978,1,1,0.841,0.159,damon vypren,Ser,0,,265.0,,,,,House Vypren,,0,1,1,1,0,,,,,0,1,40.0,0,0,0,0.157190635,1,None,,,,49.0,1,1,0,0,1,0,0
336,979,1,1,0.915,0.085,dancy,,0,,,,,,,Chataya's brothel,,0,1,1,1,1,,,,,0,0,,0,0,0,0.040133779,1,None,,,,29.0,0,0,0,1,0,0,0
337,980,0,1,0.6759999999999999,0.324,dareon,,1,,,300.0,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.16722408,0,Night's Watch,300.0,4.0,34.0,19.0,1,0,1,0,0,1,0
338,982,0,0,0.078,0.922,daryn hornwood,,1,Northmen,,298.0,,,,House Hornwood,,1,0,0,0,1,,,,,0,0,,0,0,0,0.086956522,0,Stark,298.0,1.0,63.0,63.0,1,1,1,0,0,0,0
339,983,1,0,0.499,0.501,danwell frey,Ser,1,,252.0,,,,,House Frey,Wynafrei Whent,1,1,1,1,1,,,,1.0,1,1,53.0,0,0,0,0.18060200699999998,1,None,,,,59.0,1,1,1,1,1,1,0
340,987,0,1,0.7879999999999999,0.212,delp,,0,,,299.0,,,,House Tully,,0,1,1,1,1,,,,,0,0,,0,0,0,0.013377926000000002,0,House Tully,299.0,3.0,20.0,39.0,1,0,0,1,1,0,0
341,991,1,1,0.9890000000000001,0.011000000000000001,dermot,Ser,0,,,,,,,House Baratheon of Dragonstone,,0,1,1,1,0,,,,,0,1,,0,0,0,0.023411371,1,Baratheon,,,,65.0,1,0,0,1,0,1,0
342,992,0,0,0.20199999999999999,0.7979999999999999,desmond,,0,,,298.0,,,,House Stark,,1,1,0,0,1,,,,,0,0,,0,0,0,0.043478261,0,House Stark,298.0,1.0,50.0,1.0,1,0,1,0,0,0,0
343,994,1,1,0.978,0.022000000000000002,deziel dalt,Knight,1,,,,,,,House Dalt,,0,0,1,1,1,,,,,0,1,,0,0,0,0.026755853,1,Martell,,,,38.0,1,1,0,0,1,0,1
344,997,0,1,0.813,0.187,dirk,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,0,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
345,999,1,1,0.7959999999999999,0.204,donnel haigh,Ser,1,,255.0,,,,,House Haigh,,0,1,1,1,0,,,,,0,1,50.0,0,0,0,0.086956522,1,None,,,,49.0,1,1,0,0,1,0,0
346,1001,0,1,0.7,0.3,donnel locke,Ser,0,,,299.0,,,,House Locke,,0,1,1,1,0,,,,,0,1,,0,0,0,0.036789298,0,Stark,299.0,3.0,51.0,25.0,1,1,0,1,1,0,0
347,1002,1,1,0.57,0.43,donnel waynwood,Ser,0,,277.0,,,,,House Waynwood,,1,1,1,1,1,,,,,0,1,28.0,0,0,0,0.060200669000000005,1,Tully,,,,34.0,1,1,1,0,0,0,0
348,1005,1,1,0.98,0.02,duram bar emmon,Sharp Point,0,,284.0,,,,,House Bar Emmon,,0,1,1,1,0,,,,,0,1,21.0,0,0,0,0.026755853,1,Baratheon,,,,0.0,1,1,0,1,0,0,0
349,1006,0,1,0.7040000000000001,0.29600000000000004,ebben,,1,,,299.0,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.043478261,0,Night's Watch,299.0,2.0,68.0,43.0,1,0,0,1,0,0,0
350,1014,1,1,0.667,0.33299999999999996,elder brother,Ser,1,,255.0,,,,,Faith of the Seven,,0,0,0,1,0,,,,,0,1,50.0,0,0,0,0.076923077,1,None,,,,31.0,1,0,0,0,0,1,0
351,1019,1,1,0.9540000000000001,0.046,elinor tyrell,,0,,286.0,,,,,House Tyrell,,0,0,1,1,1,,,,,0,0,19.0,0,0,0,0.16387959900000001,1,Tyrell,,,,6.0,0,1,0,0,1,1,0
352,1020,1,1,0.659,0.341,elmar frey,,1,,290.0,,,,,House Frey,,1,1,1,1,1,,,,,0,0,15.0,0,0,0,0.066889632,1,None,,,,59.0,1,1,1,1,1,0,0
353,1021,0,1,0.982,0.018000000000000002,elwood,,0,,,299.0,,,,House Tully,,0,0,1,1,1,,,,,0,0,,0,0,0,0.016722408,0,House Tully,299.0,3.0,20.0,20.0,1,0,0,0,1,0,0
354,1026,0,0,0.138,0.862,endrew tarth,Ser,1,,,299.0,,,,House Tarth,,1,1,1,0,0,,,,,0,1,,0,0,0,0.066889632,0,Night's Watch,299.0,3.0,69.0,60.0,1,0,1,0,1,0,0
355,1027,0,0,0.01,0.99,eroeh,,0,Lhazareen,,298.0,,,,,,1,1,0,0,1,,,,,0,0,,0,0,0,0.033444816,0,Targaryen,298.0,1.0,68.0,61.0,1,0,1,0,0,0,0
356,1028,0,1,0.815,0.185,eon hunter,Longbow Hall,1,,,300.0,,,,House Hunter,,1,1,1,1,1,,,,,0,1,,0,0,0,0.046822742,0,Arryn,300.0,3.0,80.0,38.0,1,1,1,0,1,0,0
357,1029,1,1,0.818,0.182,ermesande hayford,Hayford,0,,298.0,,,,,House Hayford,Tyrek Lannister,0,1,1,1,1,,,,0.0,1,1,7.0,0,0,0,0.113712375,1,None,,,,2.0,0,1,0,1,1,1,0
358,1036,1,1,0.614,0.386,forley prester,Ser,1,,,,,,,House Prester,,1,1,1,1,0,,,,,0,1,,0,0,0,0.063545151,1,Lannister,,,,33.0,1,1,0,0,0,1,0
359,1038,1,0,0.337,0.6629999999999999,flement brax,Ser,1,,,,,,,House Brax,Morya Frey,1,1,1,1,1,,,,1.0,1,1,,0,0,0,0.140468227,1,Lannister,,,,56.0,1,1,1,0,1,1,0
360,1039,1,1,0.818,0.182,frenken,Maester,0,,,,,,,,,0,1,1,1,1,,,,,0,1,,0,0,0,0.043478261,1,Lannister,,,,15.0,1,0,0,1,1,0,0
361,1043,0,1,0.736,0.264,garth of greenaway,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.030100334,0,Night's Watch,300.0,5.0,4.0,33.0,1,0,0,0,1,0,1
362,1045,1,1,0.816,0.184,garse goodbrook,Ser,1,,,,,,,House Goodbrook,Kyra Frey,0,1,1,1,0,,,,1.0,1,1,,0,0,0,0.066889632,1,None,299.0,3.0,,,1,1,0,0,1,0,0
363,1048,0,1,0.767,0.233,garth greyfeather,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.050167224,0,Night's Watch,300.0,5.0,31.0,48.0,1,0,0,0,1,0,1
364,1054,1,0,0.306,0.6940000000000001,gawen westerling,Crag,1,Westermen,,,,,,House Westerling,Sybell Spicer,1,1,1,1,1,,,,1.0,1,1,,0,0,0,0.08361204,1,Stark,,,,33.0,1,1,0,0,0,1,0
365,1055,1,1,0.6829999999999999,0.317,gerald gower,Ser,0,,,,,,,House Gower,,0,0,1,1,1,,,,,0,1,,0,0,0,0.023411371,1,Baratheon,,,,54.0,1,1,0,0,1,0,0
366,1059,1,1,0.758,0.242,glendon hewett,Ser,1,,,,,,,House Hewett,,0,0,1,1,1,,,,,0,1,,0,0,0,0.026755853,1,Night's Watch,,,,69.0,1,0,0,0,1,0,0
367,1060,1,0,0.278,0.722,gilwood hunter,Ser,1,,250.0,,,,,House Hunter,,0,0,1,1,1,,,,,0,1,55.0,0,0,0,0.040133779,1,Arryn,,,,80.0,1,1,0,0,1,0,0
368,1061,1,0,0.275,0.725,godric borrell,Sweetsister,1,Sistermen,,,,,,House Borrell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.086956522,1,None,,,,9.0,1,1,0,0,0,0,1
369,1066,1,1,0.996,0.004,grazdan mo eraz,,0,Ghiscari,,,,,,Wise Masters,,0,0,1,1,1,,,,,0,0,,0,0,0,0.023411371,1,None,,,,42.0,1,1,0,0,1,0,0
370,1067,0,0,0.001,0.9990000000000001,grazdan mo ullhor,Good Master,1,Astapori,,299.0,,,,Good Masters,,0,0,1,0,0,,,,,0,1,,0,0,0,0.030100334,0,None,299.0,3.0,27.0,27.0,1,1,0,0,1,0,0
371,1068,1,1,0.875,0.125,grazdar zo galare,Cupbearer,1,Ghiscari,,,,,,House of Galare,,0,0,0,0,1,,,,,0,1,,0,0,0,0.010033445,1,None,,,,2.0,1,1,0,0,0,0,1
372,1069,0,1,0.9079999999999999,0.092,grubbs,,0,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.02006689,0,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
373,1070,1,1,0.968,0.032,gueren,,1,,,,,,,Night's Watch,,1,1,1,1,0,,,,,0,0,,0,0,0,0.013377926000000002,1,Night's Watch,,,,38.0,1,0,1,0,0,0,0
374,1071,0,0,0.195,0.805,guncer sunglass,Sweetport Sound,1,,,299.0,,,,House Sunglass,,0,1,1,0,0,,,,,0,1,,0,0,0,0.040133779,0,Baratheon,299.0,3.0,10.0,0.0,1,1,0,1,1,0,0
375,1077,0,1,0.747,0.253,hairy hal,,0,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.033444816,0,Night's Watch,300.0,5.0,31.0,55.0,1,0,0,0,1,1,1
376,1078,0,0,0.16699999999999998,0.833,hake,,1,,,299.0,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.026755853,0,Night's Watch,299.0,3.0,46.0,52.0,1,0,1,1,1,0,0
377,1079,1,0,0.235,0.765,halder,,1,,281.0,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,24.0,0,0,0,0.060200669000000005,1,Night's Watch,,,,19.0,1,0,1,0,1,0,0
378,1080,1,1,0.858,0.142,hallis mollen,Winterfell,1,Northmen,,,,,,House Mollen,,1,1,1,1,0,,,,,0,1,,0,0,0,0.070234114,1,Stark,,,,14.0,1,1,1,1,0,0,0
379,1086,1,0,0.316,0.684,harmune,Maester,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,1,,0,0,0,0.043478261,1,Night's Watch,,,,78.0,1,0,0,0,0,0,1
380,1088,0,1,0.9790000000000001,0.021,harwood fell,Felwood,1,,,300.0,,,,House Fell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.030100334,0,House Baratheon,300.0,5.0,42.0,17.0,1,1,0,0,0,0,1
381,1090,1,1,0.966,0.034,harwood stout,Goldgrass,1,Northmen,,,,,,House Stout,,0,0,0,1,1,,,,,0,1,,0,0,0,0.053511706,1,Stark,,,,32.0,1,1,0,0,0,0,1
382,1091,1,1,0.7240000000000001,0.276,harys haigh,Ser,1,,254.0,,,,,House Haigh,,0,1,1,1,0,,,,,0,1,51.0,0,0,0,0.090301003,1,None,,,,64.0,1,1,0,1,1,0,0
383,1092,0,0,0.486,0.514,helman tallhart,Ser,1,Northmen,,299.0,,,,House Tallhart,,1,1,1,1,1,,,,,0,1,,0,0,0,0.130434783,0,Stark,299.0,3.0,37.0,55.0,1,1,1,0,1,0,0
384,1094,1,1,0.767,0.233,hobber redwyne,Ser,1,Reach,,,,,,House Redwyne,,1,1,1,1,1,,,,,0,1,,0,0,0,0.214046823,1,Tyrell,,,,27.0,1,1,1,1,1,1,0
385,1098,1,1,0.742,0.258,horas redwyne,Ser,1,Reach,,,,,,House Redwyne,,1,1,1,1,1,,,,,0,1,,0,0,0,0.21739130399999998,1,Tyrell,,,,27.0,1,1,1,1,0,1,0
